feature,id,X,Y
B,414,474252.5938,3139213.787
B,415,474132.5938,3139487.861
B,416,474057.5938,3139474.713
B,417,475227.5938,3139088.324
B,418,475467.5938,3138797.861
B,419,475362.5938,3138732.213
B,420,475542.5938,3138664.713
B,421,474402.5938,3138328.602
B,422,475572.5938,3138480.917
B,423,475917.5938,3138584.157
B,424,475362.5938,3138422.676
B,425,475842.5938,3138497.861
B,426,475662.5938,3138511.009
B,427,474477.5938,3138437.861
B,428,475962.5938,3138351.565
B,429,475557.5938,3138242.676
B,430,475797.5938,3138321.565
B,431,475722.5938,3138120.917
B,432,475767.5938,3137966.935
B,433,475677.5938,3138141.565
B,434,475917.5938,3138128.417
B,435,474642.5938,3138068.417
B,436,475182.5938,3138134.157
B,437,474537.5938,3137972.676
B,438,475062.5938,3138053.509
B,439,475317.5938,3137871.565
B,440,474357.5938,3137931.565
B,441,475482.5938,3137877.306
B,442,474597.5938,3137762.861
B,443,475617.5938,3137791.009
B,444,474462.5938,3137723.509
B,445,474642.5938,3137616.38
B,446,475347.5938,3137747.861
B,447,475617.5938,3137717.861
B,448,474672.5938,3137691.565
B,449,475977.5938,3137744.157
B,450,475497.5938,3137486.935
B,451,475167.5938,3137667.213
B,452,475857.5938,3137644.62
B,453,475707.5938,3137552.861
B,454,474432.5938,3137597.861
B,455,474927.5938,3137494.713
B,456,475437.5938,3136980.546
B,457,475077.5938,3137265.824
B,458,476007.5938,3136831.935
B,459,475572.5938,3137063.231
B,460,475197.5938,3136793.231
B,461,475992.5938,3135935.639
B,462,475362.5938,3136560.917
B,463,478677.5938,3136298.417
B,464,476757.5938,3135817.954
B,465,477297.5938,3136321.009
B,466,476802.5938,3136201.009
B,467,477942.5938,3136028.417
B,468,477702.5938,3136043.324
B,469,476952.5938,3135994.713
B,470,476622.5938,3135977.861
B,471,477597.5938,3135961.009
B,472,477792.5938,3135808.972
B,473,478347.5938,3135795.824
B,474,478347.5938,3135901.009
B,475,477552.5938,3135857.861
B,476,476457.5938,3135718.972
B,477,478002.5938,3135722.861
B,478,477447.5938,3135711.565
B,479,476892.5938,3135664.713
B,480,477807.5938,3135661.009
B,481,476562.5938,3135572.861
B,482,477432.5938,3135593.509
B,483,477222.5938,3135584.157
B,484,478122.5938,3135627.306
C,485,477777.5938,3163641.565
C,486,478572.5938,3161545.639
C,487,477972.5938,3163393.787
C,488,478017.5938,3163523.509
C,489,478182.5938,3163424.157
C,490,477612.5938,3163328.417
C,491,478227.5938,3163232.676
C,492,477687.5938,3163116.38
C,493,478347.5938,3163011.194
C,494,478347.5938,3163217.861
C,495,477207.5938,3163045.269
C,496,477117.5938,3162947.676
C,497,477447.5938,3162931.009
C,498,478377.5938,3162752.676
C,499,476922.5938,3162728.417
C,500,479037.5938,3162386.935
C,501,479457.5938,3162223.787
C,502,478782.5938,3162343.787
C,503,478032.5938,3162458.417
C,504,476802.5938,3162415.269
C,505,478497.5938,3162402.12
C,506,478002.5938,3162261.565
C,507,476667.5938,3162331.009
C,508,477087.5938,3162175.269
C,509,478242.5938,3162237.306
C,510,476787.5938,3161655.083
C,511,478152.5938,3161598.787
C,512,478227.5938,3162107.861
C,513,479757.5938,3162025.269
C,514,479787.5938,3161088.046
C,515,478842.5938,3161965.269
C,516,478437.5938,3161901.565
C,517,478017.5938,3160508.787
C,518,479007.5938,3161957.861
C,519,479307.5938,3161944.713
C,520,479607.5938,3161775.824
C,521,477882.5938,3161794.713
C,522,479412.5938,3161702.676
C,523,476877.5938,3161744.157
C,524,479067.5938,3161744.157
C,525,480102.5938,3161316.009
C,526,480237.5938,3161627.861
C,527,479547.5938,3161584.713
C,528,478752.5938,3161387.491
C,529,479847.5938,3160709.157
C,530,476892.5938,3161581.009
C,531,479142.5938,3160749.528
C,532,478452.5938,3161307.028
C,533,480117.5938,3161434.713
C,534,479592.5938,3161213.509
C,535,480537.5938,3160866.38
C,536,478482.5938,3161005.269
C,537,478857.5938,3160984.713
C,538,478947.5938,3160881.565
C,539,480852.5938,3160872.12
C,540,478542.5938,3160894.62
C,541,478677.5938,3160708.972
C,542,478947.5938,3159606.565
C,543,479607.5938,3160397.491
C,544,478797.5938,3160369.528
C,545,479307.5938,3160125.824
C,546,478812.5938,3160018.972
C,547,478767.5938,3160114.713
C,548,478947.5938,3160071.565
C,549,478347.5938,3160084.713
C,550,478257.5938,3158416.935
C,551,478977.5938,3159951.565
C,552,480702.5938,3158091.657
C,553,478527.5938,3159931.009
C,554,479817.5938,3159812.676
C,555,480492.5938,3159243.602
C,556,478842.5938,3159814.713
C,557,479337.5938,3159816.38
C,558,479112.5938,3159561.194
C,559,481077.5938,3157164.435
C,560,480282.5938,3159150.546
C,561,480462.5938,3159527.676
C,562,480057.5938,3159375.824
C,563,479142.5938,3158536.935
C,564,478902.5938,3159291.565
C,565,478887.5938,3159162.12
C,566,478827.5938,3159102.213
C,567,481722.5938,3159151.009
